Game ID,Game Name,Brand,Category,Image URL
,"Lucky Piggy","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/461/public
,"Mafia Mayhem","PGSoft",Slot Game,https://igamingapis.com/img/10090.png
,"Mahjong Ways","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/74/public
,"Mahjong Ways 2","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/858/public
,"Majestic Empire","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10121/public
,"Majestic Treasures","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/629/public
,"Mask Carnival","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/809/public
,"Medusa 1: The Curse of Athena","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10080/public
,"Medusa 2: The Quest of Perseus","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10079/public
,"Mermaid Riches","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/794/public
,"Midas Fortune","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/753/public
,"Mr. Hallow-Jackpot!","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10081/public
,"Mr. Treasure's Fortune","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10110/public
,"Muay Thai Champion","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/587/public
,"Museum Wonders","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/926/public
,"Mystic Potion","PGSoft",Slot Game,https://igamingapis.com/img/10099.png
,"Mystical Spirits","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/266/public
,"Mythical Guardians","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10128/public
,"Ninja Raccoon Frenzy","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10089/public
,"Ninja vs Samurai","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/210/public
,"Oishi Delights","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/414/public
,"Opera Dynasty","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/918/public
,"Oriental Prosperity","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/150/public
,"Pharaoh Royals","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10123/public
,"Phoenix Rises","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/140/public
,"Piggy Gold","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/795/public
,"Pinata Wins","PGSoft",Slot Game,https://igamingapis.com/img/10098.png
,"Plushie Frenzy","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/827/public
,"Poker Kingdom Win","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10124/public
,"Prosperity Fortune Tree","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/54/public
,"Prosperity Lion","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/133/public
,"Queen of Bounty","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/597/public
,"Raider Jane's Crypt of Fortune","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/157/public
,"Rave Party Fever","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/662/public
,"Reel Love","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/584/public
,"Rio Fantasia","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1011/public
,"Rise of Apollo","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/275/public
,"Rooster Rumble","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/425/public
,"Safari Wilds","PGSoft",Slot Game,https://igamingapis.com/img/10087.png
,"Santa's Gift Rush","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/610/public
,"Secrets of Cleopatra","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/510/public
,"Shaolin Soccer","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/999/public
,"Shark Bounty","PGSoft",Slot Game,https://igamingapis.com/img/10104.png
,"Skylight Wonders","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10125/public
,"Songkran Splash","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/630/public
,"Speed Winner","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/251/public
,"Spirited Wonders","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/624/public
,"Super Golf Drive","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/964/public
,"Supermarket Spree","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/575/public
,"Symbols of Egypt","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10082/public
,"Thai River Wonders","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1143/public
,"The Great Icescape","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/706/public
,"The Queen's Banquet","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/112/public
,"Three Crazy Piggies","PGSoft",Slot Game,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10107/public
,"Totem Wonders","PGSoft",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/736/public
